ID	YEAR	IDyear	GROUP	SEX	RANK	ORD_RANK	%DOMINATED
01R	2007	01R2007	V	F	23	L	0
13B	2007	13B2007	V	F	10	M	56.52173913
13H	2007	13H2007	V	F	9	M	60.86956522
14E	2007	14E2007	V	F	1	H	100
15E	2007	15E2007	V	F	8	M	65.2173913
20C	2007	20C2007	V	F	18	L	21.73913043
25N	2007	25N2007	V	F	15	L	34.7826087
29J	2007	29J2007	V	F	2	H	91.30434783
30J	2007	30J2007	V	F	7	M	69.56521739
31G	2007	31G2007	V	F	16	L	30.43478261
31L	2007	31L2007	V	F	3	H	86.95652174
32G	2007	32G2007	V	F	17	L	26.08695652
67F	2007	67F2007	V	F	4	H	82.60869565
78I	2007	78I2007	V	F	11	M	52.17391304
81E	2007	81E2007	V	F	14	L	39.13043478
97J	2007	97J2007	V	F	22	L	4.347826087
98J	2007	98J2007	V	F	21	L	8.695652174
99J	2007	99J2007	V	F	19	L	17.39130435
F38	2007	F382007	V	F	12	L	47.82608696
J41	2007	J412007	V	F	6	M	73.91304348
L66	2007	L662007	V	F	13	L	43.47826087
O63	2007	O632007	V	F	5	M	78.26086957
T03	2007	T032007	V	F	20	L	13.04347826
00J	2010	00J2010	F	F	53	L	8.620689655
00O	2010	00O2010	F	F	39	L	32.75862069
03J	2010	03J2010	F	F	55	L	5.172413793
04I	2010	04I2010	F	M	9	M	71.875
04N	2010	04N2010	F	F	22	M	62.06896552
04T	2010	04T2010	F	M	15	M	53.125
05I	2010	05I2010	F	M	23	L	28.125
07D	2010	07D2010	F	M	3	H	90.625
07T	2010	07T2010	F	M	31	L	3.125
10S	2010	10S2010	F	F	13	M	77.5862069
14I	2010	14I2010	F	F	1	H	100
14L	2010	14L2010	F	F	12	M	79.31034483
17C	2010	17C2010	F	F	21	M	63.79310345
20F	2010	20F2010	F	F	49	L	15.51724138
23T	2010	23T2010	F	M	16	M	50
24B	2010	24B2010	F	F	11	H	81.03448276
25L	2010	25L2010	F	M	10	M	68.75
25R	2010	25R2010	F	M	12	M	62.5
28J	2010	28J2010	F	F	10	H	82.75862069
28N	2010	28N2010	F	F	42	L	27.5862069
29B	2010	29B2010	F	F	58	L	0
29H	2010	29H2010	F	M	21	L	34.375
29V	2010	29V2010	F	M	14	M	56.25
29Z	2010	29Z2010	F	F	4	H	93.10344828
30C	2010	30C2010	F	M	5	H	84.375
30L	2010	30L2010	F	M	11	M	65.625
31I	2010	31I2010	F	M	25	L	21.875
31S	2010	31S2010	F	M	24	L	25
32S	2010	32S2010	F	F	34	L	41.37931034
33T	2010	33T2010	F	M	17	L	46.875
34N	2010	34N2010	F	F	45	L	22.4137931
34P	2010	34P2010	F	M	19	L	40.625
35N	2010	35N2010	F	F	9	H	84.48275862
35V	2010	35V2010	F	M	13	M	59.375
36S	2010	36S2010	F	M	2	H	93.75
36T	2010	36T2010	F	M	26	L	18.75
36Z	2010	36Z2010	F	F	54	L	6.896551724
40L	2010	40L2010	F	F	40	L	31.03448276
42L	2010	42L2010	F	F	51	L	12.06896552
43F	2010	43F2010	F	F	16	M	72.4137931
43H	2010	43H2010	F	M	20	L	37.5
43J	2010	43J2010	F	F	17	M	70.68965517
43P	2010	43P2010	F	M	4	H	87.5
44J	2010	44J2010	F	F	36	L	37.93103448
50I	2010	50I2010	F	F	48	L	17.24137931
50S	2010	50S2010	F	F	33	L	43.10344828
52P	2010	52P2010	F	F	14	M	75.86206897
55V	2010	55V2010	F	F	41	L	29.31034483
56A	2010	56A2010	F	F	3	H	94.82758621
56E	2010	56E2010	F	F	32	L	44.82758621
57H	2010	57H2010	F	F	43	L	25.86206897
59A	2010	59A2010	F	F	30	L	48.27586207
60E	2010	60E2010	F	M	27	L	15.625
60P	2010	60P2010	F	F	23	M	60.34482759
61J	2010	61J2010	F	F	44	L	24.13793103
62H	2010	62H2010	F	F	26	M	55.17241379
62V	2010	62V2010	F	F	56	L	3.448275862
63V	2010	63V2010	F	F	50	L	13.79310345
64D	2010	64D2010	F	F	46	L	20.68965517
64P	2010	64P2010	F	F	25	M	56.89655172
68J	2010	68J2010	F	F	5	H	91.37931034
68V	2010	68V2010	F	F	8	H	86.20689655
73B	2010	73B2010	F	F	35	L	39.65517241
74S	2010	74S2010	F	F	57	L	1.724137931
78T	2010	78T2010	F	F	2	H	96.55172414
79C	2010	79C2010	F	F	28	M	51.72413793
80T	2010	80T2010	F	M	22	L	31.25
81O	2010	81O2010	F	M	18	L	43.75
82A	2010	82A2010	F	F	18	M	68.96551724
82L	2010	82L2010	F	F	37	L	36.20689655
84J	2010	84J2010	F	M	28	L	12.5
85B	2010	85B2010	F	M	1	H	100
87K	2010	87K2010	F	F	52	L	10.34482759
88I	2010	88I2010	F	F	31	L	46.55172414
90D	2010	90D2010	F	F	38	L	34.48275862
92D	2010	92D2010	F	F	27	M	53.44827586
96B	2010	96B2010	F	M	7	M	78.125
96T	2010	96T2010	F	M	29	L	9.375
98T	2010	98T2010	F	F	20	M	65.51724138
99V	2010	99V2010	F	M	30	L	6.25
K00	2010	K002010	F	F	24	M	58.62068966
N12	2010	N122010	F	F	7	H	87.93103448
O34	2010	O342010	F	M	6	H	81.25
O52	2010	O522010	F	F	29	M	50
R65	2010	R652010	F	F	19	M	67.24137931
T53	2010	T532010	F	M	32	L	0
V36	2010	V362010	F	F	6	H	89.65517241
X44	2010	X442010	F	F	47	L	18.96551724
X58	2010	X582010	F	M	8	M	75
Z14	2010	Z142010	F	F	15	M	74.13793103
00J	2011	00J2011	F	F	56	L	17.64705882
00O	2011	00O2011	F	F	44	L	35.29411765
03J	2011	03J2011	F	F	63	L	7.352941176
04I	2011	04I2011	F	M	10	M	77.77777778
04N	2011	04N2011	F	F	25	M	63.23529412
04T	2011	04T2011	F	M	37	L	17.77777778
05I	2011	05I2011	F	M	20	M	55.55555556
07D	2011	07D2011	F	M	3	H	93.33333333
07T	2011	07T2011	F	M	25	L	44.44444444
0A4	2011	0A42011	F	F	31	M	54.41176471
0A9	2011	0A92011	F	F	67	L	1.470588235
0B8	2011	0B82011	F	M	18	M	60
10S	2011	10S2011	F	F	15	M	77.94117647
14I	2011	14I2011	F	F	1	H	100
14L	2011	14L2011	F	F	13	H	80.88235294
17C	2011	17C2011	F	F	24	M	64.70588235
17T	2011	17T2011	F	M	41	L	8.888888889
18Z	2011	18Z2011	F	M	32	L	28.88888889
1A3	2011	1A32011	F	F	55	L	19.11764706
1B1	2011	1B12011	F	M	23	L	48.88888889
20F	2011	20F2011	F	F	58	L	14.70588235
22R	2011	22R2011	F	M	28	L	37.77777778
23T	2011	23T2011	F	M	40	L	11.11111111
24B	2011	24B2011	F	F	12	H	82.35294118
25L	2011	25L2011	F	M	8	H	82.22222222
25R	2011	25R2011	F	M	11	M	75.55555556
28J	2011	28J2011	F	F	11	H	83.82352941
28N	2011	28N2011	F	F	53	L	22.05882353
29B	2011	29B2011	F	F	68	L	0
29H	2011	29H2011	F	M	15	M	66.66666667
29V	2011	29V2011	F	M	13	M	71.11111111
29Z	2011	29Z2011	F	F	4	H	94.11764706
2A2	2011	2A22011	F	F	14	H	79.41176471
2A5	2011	2A52011	F	F	17	M	75
2A7	2011	2A72011	F	F	48	L	29.41176471
2A8	2011	2A82011	F	F	39	L	42.64705882
30C	2011	30C2011	F	M	5	H	88.88888889
30L	2011	30L2011	F	M	9	H	80
31I	2011	31I2011	F	M	26	L	42.22222222
31S	2011	31S2011	F	M	24	L	46.66666667
32S	2011	32S2011	F	F	41	L	39.70588235
33T	2011	33T2011	F	M	19	M	57.77777778
34N	2011	34N2011	F	F	54	L	20.58823529
34P	2011	34P2011	F	M	30	L	33.33333333
35N	2011	35N2011	F	F	7	H	89.70588235
35V	2011	35V2011	F	M	12	M	73.33333333
36S	2011	36S2011	F	M	2	H	95.55555556
36T	2011	36T2011	F	M	21	M	53.33333333
36Z	2011	36Z2011	F	F	57	L	16.17647059
40L	2011	40L2011	F	F	47	L	30.88235294
42L	2011	42L2011	F	F	60	L	11.76470588
42T	2011	42T2011	F	M	29	L	35.55555556
43F	2011	43F2011	F	F	19	M	72.05882353
43H	2011	43H2011	F	M	31	L	31.11111111
43J	2011	43J2011	F	F	20	M	70.58823529
43P	2011	43P2011	F	M	4	H	91.11111111
44J	2011	44J2011	F	F	40	L	41.17647059
46Z	2011	46Z2011	F	M	22	M	51.11111111
50I	2011	50I2011	F	F	45	L	33.82352941
50S	2011	50S2011	F	F	38	L	44.11764706
52P	2011	52P2011	F	F	16	M	76.47058824
55V	2011	55V2011	F	F	52	L	23.52941176
56A	2011	56A2011	F	F	3	H	95.58823529
56E	2011	56E2011	F	F	36	L	47.05882353
57H	2011	57H2011	F	F	50	L	26.47058824
59A	2011	59A2011	F	F	35	L	48.52941176
60E	2011	60E2011	F	M	38	L	15.55555556
60P	2011	60P2011	F	F	26	M	61.76470588
60T	2011	60T2011	F	M	34	L	24.44444444
61J	2011	61J2011	F	F	49	L	27.94117647
62H	2011	62H2011	F	F	30	M	55.88235294
62V	2011	62V2011	F	F	65	L	4.411764706
63V	2011	63V2011	F	F	51	L	25
64D	2011	64D2011	F	F	59	L	13.23529412
64P	2011	64P2011	F	F	29	M	57.35294118
68J	2011	68J2011	F	F	5	H	92.64705882
68V	2011	68V2011	F	F	9	H	86.76470588
6A8	2011	6A82011	F	M	17	M	62.22222222
73B	2011	73B2011	F	F	37	L	45.58823529
74S	2011	74S2011	F	F	66	L	2.941176471
77I	2011	77I2011	F	M	36	L	20
78T	2011	78T2011	F	F	2	H	97.05882353
79C	2011	79C2011	F	F	32	M	52.94117647
79Z	2011	79Z2011	F	F	46	L	32.35294118
80T	2011	80T2011	F	M	27	L	40
81O	2011	81O2011	F	M	33	L	26.66666667
82A	2011	82A2011	F	F	21	M	69.11764706
82L	2011	82L2011	F	F	42	L	38.23529412
85B	2011	85B2011	F	M	1	H	97.77777778
87K	2011	87K2011	F	F	61	L	10.29411765
88I	2011	88I2011	F	F	34	M	50
8A7	2011	8A72011	F	M	14	M	68.88888889
90D	2011	90D2011	F	F	43	L	36.76470588
91O	2011	91O2011	F	M	42	L	6.666666667
92D	2011	92D2011	F	F	28	M	58.82352941
93Z	2011	93Z2011	F	F	64	L	5.882352941
96B	2011	96B2011	F	M	7	H	84.44444444
96T	2011	96T2011	F	M	44	L	2.222222222
96Z	2011	96Z2011	F	M	16	M	64.44444444
98T	2011	98T2011	F	F	23	M	66.17647059
99V	2011	99V2011	F	M	45	L	0
9A4	2011	9A42011	F	F	8	H	88.23529412
K00	2011	K002011	F	F	27	M	60.29411765
N12	2011	N122011	F	F	10	H	85.29411765
O34	2011	O342011	F	M	6	H	86.66666667
O52	2011	O522011	F	F	33	M	51.47058824
R65	2011	R652011	F	F	22	M	67.64705882
T53	2011	T532011	F	M	39	L	13.33333333
V36	2011	V362011	F	F	6	H	91.17647059
X44	2011	X442011	F	F	62	L	8.823529412
X58	2011	X582011	F	M	35	L	22.22222222
X80	2011	X802011	F	M	43	L	4.444444444
Z14	2011	Z142011	F	F	18	M	73.52941176
03N	2011	03N2011	S	M	3	M	93.33333333
05Z	2011	05Z2011	S	M	8	L	82.22222222
26P	2011	26P2011	S	M	4	M	91.11111111
36D	2011	36D2011	S	F	11	L	38.88888889
38Z	2011	38Z2011	S	F	1	H	100
48L	2011	48L2011	S	M	2	M	95.55555556
4A9	2011	4A92011	S	F	3	H	83.33333333
53N	2011	53N2011	S	M	1	H	100
57T	2011	57T2011	S	F	16	L	11.11111111
5A0	2011	5A02011	S	F	4	H	77.77777778
5A1	2011	5A12011	S	F	2	H	88.88888889
70T	2011	70T2011	S	F	13	L	27.77777778
72T	2011	72T2011	S	M	6	L	86.66666667
74K	2011	74K2011	S	F	5	M	72.22222222
7A9	2011	7A92011	S	F	6	M	66.66666667
81I	2011	81I2011	S	F	8	M	55.55555556
82V	2011	82V2011	S	F	17	L	5.555555556
82Z	2011	82Z2011	S	F	14	L	22.22222222
88N	2011	88N2011	S	F	12	L	33.33333333
88V	2011	88V2011	S	M	5	L	88.88888889
97R	2011	97R2011	S	F	10	L	44.44444444
98V	2011	98V2011	S	F	9	M	50
9A1	2011	9A12011	S	M	7	L	84.44444444
T83	2011	T832011	S	F	18	L	0
T84	2011	T842011	S	F	7	M	61.11111111
Z82	2011	Z822011	S	F	15	L	16.66666667
00J	2012	00J2012	F	F	49	L	16.94915254
00O	2012	00O2012	F	F	33	L	44.06779661
03J	2012	03J2012	F	F	56	L	5.084745763
04I	2012	04I2012	F	M	10	M	67.74193548
04N	2012	04N2012	F	F	9	H	84.74576271
04Z	2012	04Z2012	F	M	14	M	54.83870968
07D	2012	07D2012	F	M	1	H	100
0A4	2012	0A42012	F	F	13	M	77.96610169
0A9	2012	0A92012	F	F	55	L	6.779661017
0B8	2012	0B82012	F	M	11	M	64.51612903
0C6	2012	0C62012	F	F	47	L	20.33898305
12Z	2012	12Z2012	F	M	26	L	16.12903226
17C	2012	17C2012	F	F	8	H	86.44067797
18Z	2012	18Z2012	F	M	18	L	41.93548387
1A3	2012	1A32012	F	F	41	L	30.50847458
1C0	2012	1C02012	F	F	18	M	69.49152542
20F	2012	20F2012	F	F	35	L	40.6779661
22R	2012	22R2012	F	M	13	M	58.06451613
24B	2012	24B2012	F	F	59	L	0
25R	2012	25R2012	F	M	4	H	87.09677419
28B	2012	28B2012	F	M	17	L	45.16129032
29B	2012	29B2012	F	F	54	L	8.474576271
29H	2012	29H2012	F	M	15	M	51.61290323
2A7	2012	2A72012	F	F	31	L	47.45762712
2A8	2012	2A82012	F	F	27	M	54.23728814
2C9	2012	2C92012	F	M	28	L	9.677419355
30C	2012	30C2012	F	M	6	H	80.64516129
30L	2012	30L2012	F	M	30	L	3.225806452
32S	2012	32S2012	F	F	19	M	67.79661017
33T	2012	33T2012	F	M	29	L	6.451612903
34N	2012	34N2012	F	F	37	L	37.28813559
34P	2012	34P2012	F	M	19	L	38.70967742
35N	2012	35N2012	F	F	58	L	1.694915254
35V	2012	35V2012	F	M	20	L	35.48387097
36Z	2012	36Z2012	F	F	51	L	13.55932203
3C3	2012	3C32012	F	F	40	L	32.20338983
40L	2012	40L2012	F	F	30	M	49.15254237
42L	2012	42L2012	F	F	46	L	22.03389831
43F	2012	43F2012	F	F	1	H	100
43J	2012	43J2012	F	F	3	H	94.91525424
43P	2012	43P2012	F	M	2	H	93.5483871
44J	2012	44J2012	F	F	26	M	55.93220339
4C1	2012	4C12012	F	F	4	H	93.22033898
4C2	2012	4C22012	F	F	50	L	15.25423729
50I	2012	50I2012	F	F	28	M	52.54237288
50S	2012	50S2012	F	F	20	M	66.10169492
55V	2012	55V2012	F	F	36	L	38.98305085
56E	2012	56E2012	F	F	24	M	59.3220339
57H	2012	57H2012	F	F	39	L	33.89830508
59A	2012	59A2012	F	F	15	M	74.57627119
5B0	2012	5B02012	F	M	27	L	12.90322581
5C0	2012	5C02012	F	F	2	H	96.61016949
60E	2012	60E2012	F	M	21	L	32.25806452
60P	2012	60P2012	F	F	10	H	83.05084746
60T	2012	60T2012	F	M	7	M	77.41935484
61D	2012	61D2012	F	M	22	L	29.03225806
61J	2012	61J2012	F	F	34	L	42.37288136
62H	2012	62H2012	F	F	11	H	81.3559322
62V	2012	62V2012	F	F	52	L	11.86440678
63V	2012	63V2012	F	F	44	L	25.42372881
64D	2012	64D2012	F	F	42	L	28.81355932
64P	2012	64P2012	F	F	16	M	72.88135593
6B2	2012	6B22012	F	M	24	L	22.58064516
6C0	2012	6C02012	F	F	6	H	89.83050847
73B	2012	73B2012	F	F	25	M	57.62711864
74S	2012	74S2012	F	F	53	L	10.16949153
79Z	2012	79Z2012	F	F	29	M	50.84745763
7B3	2012	7B32012	F	M	9	M	70.96774194
7B7	2012	7B72012	F	F	45	L	23.72881356
7C0	2012	7C02012	F	F	22	M	62.71186441
80T	2012	80T2012	F	M	25	L	19.35483871
82A	2012	82A2012	F	F	5	H	91.52542373
82L	2012	82L2012	F	F	17	M	71.18644068
87K	2012	87K2012	F	F	48	L	18.6440678
88I	2012	88I2012	F	F	23	M	61.01694915
88T	2012	88T2012	F	M	16	L	48.38709677
8A7	2012	8A72012	F	M	8	M	74.19354839
8B0	2012	8B02012	F	F	38	L	35.59322034
8B5	2012	8B52012	F	M	23	L	25.80645161
90D	2012	90D2012	F	F	32	L	45.76271186
92D	2012	92D2012	F	F	12	H	79.66101695
93Z	2012	93Z2012	F	F	57	L	3.389830508
96B	2012	96B2012	F	M	3	H	90.32258065
96Z	2012	96Z2012	F	M	5	H	83.87096774
98T	2012	98T2012	F	F	7	H	88.13559322
